VTDID,PCTNAME,PCTCODE,MCDNAME,MCDCODE,MCDFIPS,COUNTYNAME,COUNTYCODE,COUNTYFIPS,CONGDIST,MNSENDIST,MNLEGDIST,CTYCOMDIST,JUDDIST,SWCDIST,WARD,TABSYSTEM,TABMODEL,REG7AM,EDR,SIGNATURES,AB,FEDONLYAB,TOTVOTING,USPRSGP,USPRSR,USPRSDFL,USPRSSEP,USPRSSWP,USPRSCFP,USPRSBL,USPRSCP,USPRSLIB,USPRSWI,USPRSTOTAL,USREPGP,USREPIP,USREPR,USREPDFL,USREPWI,USREPTOTAL,MNLEGGP,MNLEGIP,MNLEGR,MNLEGDFL,MNLEGWI,MNLEGTOTAL
270010255,BLIND LAKE UNORG. 48-27,255,BLIND LAKE UNORG. 48-27,143,47342,AITKIN,1,001,8,03,03B,05,09,00,,2,Model 100,22,3,17,3,0,20,0,9,11,0,0,0,0,0,0,0,20,0,0,7,13,0,20,0,0,9,11,0,20
270010260,NW AITKIN UNORG. P-2,260,NW AITKIN UNORG. 51-25,143,47342,AITKIN,1,001,8,03,03B,05,09,00,,2,Model 100,78,7,73,1,0,74,0,33,38,0,0,0,2,0,0,1,74,4,0,26,43,0,73,0,0,29,45,0,74
270010285,LEMAY UNORG. 51-27,285,LEMAY UNORG. 51-27,143,47342,AITKIN,1,001,8,03,03B,05,09,00,,3,Not Appli,22,6,28,0,0,28,0,13,14,0,0,0,1,0,0,0,28,0,0,7,19,0,26,0,0,8,19,0,27
270010290,NW AITKIN UNORG. P-1,290,NW AITKIN UNORG. 52-25,143,47342,AITKIN,1,001,8,03,03B,05,09,00,,2,Model 100,53,12,54,2,0,56,0,45,9,0,0,0,1,0,1,0,56,1,0,25,28,0,54,0,0,35,19,0,54
270031010,ANDOVER P-01,1010,ANDOVER,4,1486,ANOKA,2,003,6,49,49A,01,10,00,,2,Accuvote,1992,341,1880,125,2,2008,2,1248,725,0,0,2,12,7,6,4,2006,0,0,1167,815,1,1983,0,0,1166,696,0,1862
270031020,ANDOVER P-02,1020,ANDOVER,4,1486,ANOKA,2,003,6,49,49A,01,10,00,,2,Accuvote,1847,310,1726,141,0,1867,2,1162,684,0,0,2,10,3,2,1,1866,0,0,1033,805,1,1839,0,0,1093,655,2,1750
270031030,ANDOVER P-03,1030,ANDOVER,4,1486,ANOKA,2,003,6,49,49B,05,10,00,,2,Accuvote,1515,264,1407,73,0,1482,1,880,591,0,0,1,5,2,0,0,1480,0,0,800,657,0,1457,0,0,929,470,3,1402
270031040,ANDOVER P-04,1040,ANDOVER,4,1486,ANOKA,2,003,6,49,49A,01,10,00,,2,Accuvote,953,171,915,55,0,970,0,604,360,0,0,0,1,2,1,0,968,0,0,553,394,0,947,0,0,563,333,2,898
270031050,ANDOVER P-05,1050,ANDOVER,4,1486,ANOKA,2,003,6,49,49A,05,10,00,,2,Accuvote,1368,260,1252,67,0,1319,4,723,573,0,0,2,13,0,3,1,1319,0,0,672,630,1,1303,0,0,690,535,2,1227
270031060,ANDOVER P-06,1060,ANDOVER,4,1486,ANOKA,2,003,6,49,49A,05,10,00,,2,Accuvote,1595,220,1525,56,0,1581,1,1008,567,0,0,1,1,0,0,3,1581,0,0,931,630,1,1562,0,0,999,508,1,1508
270031070,ANDOVER P-07,1070,ANDOVER,4,1486,ANOKA,2,003,6,49,49A,02,10,00,,2,Accuvote,2265,620,2229,124,0,2353,3,1559,770,1,0,2,13,2,1,1,2352,0,0,1425,906,0,2331,0,0,1547,712,2,2261
270031080,ANDOVER P-08,1080,ANDOVER,4,1486,ANOKA,2,003,6,49,49A,02,10,00,,2,Accuvote,1663,384,1632,84,0,1716,1,1097,612,0,0,0,4,0,1,1,1716,0,0,1002,692,0,1694,0,0,1053,552,0,1605
270031090,ANDOVER P-09,1090,ANDOVER,4,1486,ANOKA,2,003,6,49,49A,02,10,00,,2,Accuvote,1513,251,1411,91,0,1502,2,911,572,0,0,1,8,0,6,0,1500,0,0,836,645,1,1482,0,0,881,552,5,1438
270031100,ANDOVER P-10,1100,ANDOVER,4,1486,ANOKA,2,003,6,49,49A,05,10,00,,2,Accuvote,1672,329,1590,63,0,1653,0,1011,622,0,1,1,14,1,1,2,1653,0,0,948,690,2,1640,0,0,1037,537,2,1576
270031210,ANOKA P-1,1210,ANOKA,5,1720,ANOKA,2,003,6,48,48B,07,10,00,,2,Accuvote,877,198,818,101,4,923,0,429,483,0,3,0,5,0,1,2,923,0,0,376,524,2,902,0,0,522,357,2,881
270031220,ANOKA P-2,1220,ANOKA,5,1720,ANOKA,2,003,6,48,48B,01,10,00,,2,Accuvote,1082,350,1069,119,0,1188,1,636,540,0,0,0,3,2,0,1,1183,0,0,586,580,1,1167,0,0,687,411,2,1100
270031230,ANOKA P-3,1230,ANOKA,5,1720,ANOKA,2,003,6,48,48B,01,10,00,,2,Accuvote,1235,237,1137,81,0,1218,2,678,528,0,0,0,9,1,0,0,1218,0,0,631,572,0,1203,0,0,745,407,0,1152
270031240,ANOKA P-4,1240,ANOKA,5,1720,ANOKA,2,003,6,48,48B,07,10,00,,2,Accuvote,1079,313,1119,98,9,1226,1,587,627,0,0,0,7,1,1,2,1226,0,0,525,675,1,1201,0,0,657,475,1,1133
270031250,ANOKA P-5,1250,ANOKA,5,1720,ANOKA,2,003,6,48,48B,07,10,00,,2,Accuvote,1076,239,1005,92,0,1098,1,553,530,0,1,4,4,2,2,1,1098,0,0,509,565,2,1076,0,0,626,415,0,1041
270031260,ANOKA P-6,1260,ANOKA,5,1720,ANOKA,2,003,6,48,48B,07,10,00,,2,Accuvote,917,287,864,116,0,980,0,431,530,0,2,0,9,2,2,3,979,0,0,422,531,3,956,0,0,512,379,3,894
270031270,ANOKA P-7,1270,ANOKA,5,1720,ANOKA,2,003,6,48,48B,07,10,00,,2,Accuvote,1137,240,1111,50,1,1162,0,598,550,1,0,1,6,0,3,1,1160,0,0,561,590,0,1151,0,0,684,419,0,1103
270031280,ANOKA P-8,1280,ANOKA,5,1720,ANOKA,2,003,6,48,48B,07,10,00,,2,Accuvote,1169,209,1109,52,0,1161,3,611,534,1,0,0,8,2,2,0,1161,0,0,577,565,1,1143,0,0,705,400,1,1106
270031410,BETHEL P-1,1410,BETHEL,15,5554,ANOKA,2,003,6,48,48A,01,10,00,,2,Accuvote,238,89,261,2,1,264,0,144,116,0,0,1,0,0,1,1,263,0,0,134,127,0,261,0,0,125,120,0,245
270031610,BLAINE W-1 P-1,1610,BLAINE,20,6382,ANOKA,2,003,6,53,53A,06,10,00,1,2,Accuvote,995,286,1020,44,0,1064,2,530,510,0,0,2,14,2,2,0,1062,0,0,502,544,1,1047,0,0,520,474,1,995
270031620,BLAINE W-1 P-1A,1620,BLAINE,20,6382,ANOKA,2,003,6,51,51A,03,10,00,1,2,Accuvote,1099,197,1007,53,0,1060,1,522,521,0,0,2,6,2,2,1,1057,0,0,499,543,2,1044,0,0,526,488,0,1014
270031630,BLAINE W-1 P-2,1630,BLAINE,20,6382,ANOKA,2,003,6,51,51A,06,10,00,1,2,Accuvote,1787,451,1733,75,0,1808,1,988,803,0,0,1,6,3,5,1,1808,0,0,921,848,0,1769,0,0,969,757,1,1727
270031640,BLAINE W-1 P-3,1640,BLAINE,20,6382,ANOKA,2,003,6,51,51B,03,10,00,1,2,Accuvote,1023,208,929,52,1,982,1,439,533,0,0,1,4,0,2,0,980,0,0,406,559,0,965,0,51,347,534,1,933
270031650,BLAINE W-1 P-4,1650,BLAINE,20,6382,ANOKA,2,003,6,51,51B,03,10,00,1,2,Accuvote,1134,220,1050,54,0,1104,0,508,578,0,1,2,6,3,1,1,1100,0,0,438,633,3,1074,0,45,427,566,1,1039
270031660,BLAINE W-1 P-5,1660,BLAINE,20,6382,ANOKA,2,003,6,51,51B,03,10,00,1,2,Accuvote,1476,285,1317,84,0,1401,1,641,747,0,0,0,7,0,3,0,1399,0,0,592,785,1,1378,0,66,556,705,2,1329
270031670,BLAINE W-1 P-6,1670,BLAINE,20,6382,ANOKA,2,003,6,51,51A,03,10,00,1,2,Accuvote,1215,313,1113,72,0,1185,3,503,658,1,0,2,10,3,2,3,1185,0,0,476,690,1,1167,0,0,550,575,1,1126
270031810,BLAINE W-2 P-1,1810,BLAINE,20,6382,ANOKA,2,003,6,51,51A,03,10,00,2,2,Accuvote,1802,560,1938,122,1,2061,1,1151,887,0,0,0,13,3,0,3,2058,0,0,1041,976,1,2018,0,0,1140,819,2,1961
270031820,BLAINE W-2 P-2,1820,BLAINE,20,6382,ANOKA,2,003,6,51,51A,03,10,00,2,2,Accuvote,735,556,1113,80,1,1194,0,692,496,0,0,0,3,0,1,0,1192,0,0,636,532,1,1169,0,0,619,475,1,1095
270031830,BLAINE W-2 P-2A,1830,BLAINE,20,6382,ANOKA,2,003,6,51,51A,03,10,00,2,2,Accuvote,1050,222,1033,59,1,1093,0,617,469,1,0,0,3,1,2,0,1093,0,0,583,491,2,1076,0,0,664,392,2,1058
270031832,BLAINE W-2 P-2B,1832,BLAINE,20,6382,ANOKA,2,003,6,51,51A,03,10,00,2,2,Accuvote,1299,348,1295,100,10,1405,0,838,557,0,0,0,5,1,2,1,1404,0,0,785,603,0,1388,0,0,828,522,0,1350
270031840,BLAINE W-2 P-3,1840,BLAINE,20,6382,ANOKA,2,003,6,51,51A,03,10,00,2,2,Accuvote,1504,483,1594,75,3,1672,2,834,817,0,0,1,10,0,3,2,1669,0,0,759,868,1,1628,0,0,848,717,2,1567
270031850,BLAINE W-2 P-4,1850,BLAINE,20,6382,ANOKA,2,003,6,51,51A,03,10,00,2,2,Accuvote,1468,265,1417,68,0,1485,3,749,721,1,0,2,6,0,1,1,1484,0,0,700,751,2,1453,0,0,782,650,3,1435
270031860,BLAINE W-2 P-5,1860,BLAINE,20,6382,ANOKA,2,003,6,51,51A,03,10,00,2,2,Accuvote,891,218,887,55,8,950,0,418,523,0,0,1,5,0,0,3,950,0,0,379,558,3,940,0,0,389,524,2,915
270031870,BLAINE W-2 P-6,1870,BLAINE,20,6382,ANOKA,2,003,6,51,51A,03,10,00,2,2,Accuvote,997,279,1047,42,0,1089,0,494,581,0,0,3,5,0,2,3,1088,0,0,427,632,1,1060,0,0,501,504,1,1006
270032010,BLAINE W-3 P-1,2010,BLAINE,20,6382,ANOKA,2,003,6,51,51A,02,10,00,3,2,Accuvote,1482,246,1376,116,1,1493,1,812,664,1,0,0,8,4,1,0,1491,0,0,762,709,2,1473,0,0,781,676,1,1458
270032020,BLAINE W-3 P-2,2020,BLAINE,20,6382,ANOKA,2,003,6,51,51A,02,10,00,3,2,Accuvote,2218,488,2212,132,0,2344,2,1335,987,0,1,2,11,4,1,1,2344,0,0,1231,1081,1,2313,0,0,1370,914,0,2284
270032030,BLAINE W-3 P-2A,2030,BLAINE,20,6382,ANOKA,2,003,6,51,51A,02,10,00,3,2,Accuvote,633,164,642,21,0,663,0,351,304,0,0,0,5,1,0,1,662,0,0,332,318,0,650,0,0,364,274,0,638
270032040,BLAINE W-3 P-3,2040,BLAINE,20,6382,ANOKA,2,003,6,51,51A,03,10,00,3,2,Accuvote,1681,541,1757,70,1,1828,1,927,883,0,1,2,10,1,2,1,1828,0,0,871,926,0,1797,0,0,969,798,3,1770
270032050,BLAINE W-3 P-4,2050,BLAINE,20,6382,ANOKA,2,003,6,51,51A,03,10,00,3,2,Accuvote,1319,252,1285,60,6,1351,4,681,651,0,0,0,8,2,3,0,1349,0,0,603,727,1,1331,0,0,713,597,0,1310
270032060,BLAINE W-3 P-5,2060,BLAINE,20,6382,ANOKA,2,003,6,51,51A,03,10,00,3,2,Accuvote,902,238,885,29,0,914,3,408,482,0,1,1,13,0,3,2,913,0,0,383,519,0,902,0,0,455,425,1,881
270032210,BURNS P-1,2210,BURNS,25,8740,ANOKA,2,003,6,48,48A,01,10,00,,2,Accuvote,2286,483,2282,94,2,2378,2,1599,749,0,2,2,14,5,3,1,2377,0,0,1437,908,5,2350,0,0,1516,748,1,2265
270032410,CENTERVILLE P-1,2410,CENTERVILLE,30,10648,ANOKA,2,003,6,52,52A,06,10,00,,2,Accuvote,2016,559,2016,96,0,2112,2,1203,884,1,0,1,11,0,3,3,2108,0,0,1116,969,1,2086,0,0,1167,814,2,1983
270032610,CIRCLE PINES P-1,2610,CIRCLE PINES,35,11494,ANOKA,2,003,6,53,53A,06,10,00,,2,Accuvote,1204,245,1146,39,2,1189,1,534,637,0,0,0,7,3,5,1,1188,0,0,522,649,0,1171,0,0,521,613,0,1134
270032620,CIRCLE PINES P-2,2620,CIRCLE PINES,35,11494,ANOKA,2,003,6,53,53A,06,10,00,,2,Accuvote,1760,279,1650,144,1,1795,5,887,887,0,0,2,7,2,4,0,1794,0,0,835,932,2,1769,0,0,863,843,3,1709
270032810,COLUMBIA HEIGHTS P-1,2810,COLUMBIA HEIGHTS,40,12700,ANOKA,2,003,5,50,50A,04,10,00,,2,Accuvote,1462,355,1390,60,4,1454,5,505,921,0,0,1,12,2,4,1,1451,72,0,397,863,1,1333,0,0,438,897,3,1338
