FIPS_VTD,PRECINCT NAME,WD,CG,LEG,CM,S DST,S1,S2,C,V,MCD NAME        ,JD,TC,ME,MCD,PRCT,CC,COVTD,7am ,EDR,Signatures,AB-Reg,AB-Fed,AB-Pres,Ballots,PresR,PresDFL,PresG,PresCP,PresOther,PresLib,PresRP,PresRPM,PresSWP,USSenR,USSenDFL,USSenInd,USSenOther,USSenCP,USSenSWP,USSenLib,USSenGRP,CONG_DIST,CongR,CongDFL,CongInd,CongOther,CongCP,CongLib,MNSenR,MNSenDFL,MNSenInd,MNSenCP,MNSenNP,MNLegR,MNLegDFL,MNLegInd,MNLegCP,MNLegLib,MNLegG
0650105,N MANKATO PRECINCT 4-B ,0,1,24B,5,7700,0,0,Y,O,NORTH MANKATO CITY            ,5,C,N,065,0105,52,520105,467,119,466,25,0,0,491,253,210,23,0,2,0,1,1,0,232,227,26,5,0,1,0,4,1,275,202,0,7,0,7,231,247,0,0,0,256,228,0,0,0,0
0650106,N MANKATO PRECINCT 5-A ,0,1,24B,3,7700,0,0,Y,O,NORTH MANKATO CITY            ,5,C,N,065,0106,52,520106,302,113,213,12,0,0,225,97,108,13,1,4,0,1,3,0,91,113,13,6,2,2,2,0,1,104,115,0,2,0,2,70,144,0,0,0,102,118,0,0,0,0
0650107,N MANKATO PRECINCT 5-B ,0,1,24B,5,7700,0,0,Y,O,NORTH MANKATO CITY            ,5,C,N,065,0107,52,520107,819,209,715,46,0,0,761,429,305,22,0,4,2,1,1,0,398,304,48,9,1,2,0,6,1,475,268,0,6,0,6,392,355,0,0,0,443,309,0,0,0,0
0700110,OSHAWA TOWNSHIP        ,0,2,24B,2,50800,0,0,N,O,OSHAWA TOWNSHIP               ,5,T,N,070,0110,52,520110,307,41,260,19,0,0,279,116,138,15,0,6,0,0,6,0,112,145,14,6,1,3,0,2,2,101,151,21,1,0,1,92,173,0,0,0,122,153,0,0,0,0
0750115,RIDGELY TOWNSHIP       ,0,2,23B,4,36500,0,0,N,O,RIDGELY TOWNSHIP              ,5,T,N,075,0115,52,520115,67,7,63,1,0,0,64,32,24,7,0,0,0,0,0,0,36,23,4,0,0,0,0,0,2,32,30,1,0,0,0,31,30,0,0,0,41,18,4,0,0,0
0800120,ST PETER W-1 P-1       ,1,2,24B,1,50800,0,0,N,O,ST. PETER CITY                ,5,C,N,080,0120,52,520120,1636,373,1333,57,0,0,1390,553,728,80,0,18,3,0,14,1,531,727,88,28,3,10,3,12,2,480,768,93,19,3,16,452,879,0,0,0,569,790,0,0,0,0
0800125,ST PETER W-1 P-2       ,1,2,24B,1,50800,0,0,N,O,ST. PETER CITY                ,5,C,N,080,0125,52,520125,1207,234,1017,102,0,0,1119,468,567,63,1,9,1,1,7,0,445,573,44,29,3,9,1,16,2,399,610,73,9,2,7,375,686,0,0,0,475,615,0,0,0,0
0800130,ST PETER W-2 P-1       ,2,2,24B,2,50800,0,0,N,O,ST. PETER CITY                ,5,C,N,080,0130,52,520130,944,558,805,16,0,0,821,266,464,83,0,6,3,0,3,0,272,440,51,21,0,6,3,12,2,225,474,39,10,0,10,234,462,0,0,0,249,507,0,0,0,0
0800135,ST PETER W-2 P-2       ,2,2,24B,2,50800,0,0,N,O,ST. PETER CITY                ,5,C,N,080,0135,52,520135,1648,737,1354,133,0,0,1487,496,814,148,0,16,5,0,11,0,459,834,93,54,5,10,4,35,2,410,895,56,25,7,18,406,922,0,0,0,484,931,0,0,0,0
0850140,TRAVERSE TOWNSHIP      ,0,2,24B,1,50800,0,0,N,O,TRAVERSE TOWNSHIP             ,5,T,N,085,0140,52,520140,206,18,157,13,0,0,170,81,75,6,0,7,0,0,7,0,74,85,8,3,2,1,0,0,2,66,92,8,3,2,1,71,96,0,0,0,88,79,0,0,0,0
0900145,WEST NEWTON TOWNSHIP   ,0,2,23B,4,36500,0,0,N,O,WEST NEWTON TOWNSHIP          ,5,T,N,090,0145,52,520145,293,35,239,13,0,0,252,130,95,10,0,13,1,1,11,0,142,79,22,6,0,1,1,4,2,122,119,4,4,0,4,166,80,0,0,0,155,79,15,0,0,0
0050005,ADRIAN                 ,0,2,21B,2,51100,0,0,N,O,ADRIAN CITY                   ,5,C,N,005,0005,53,530005,728,55,538,39,0,0,577,237,312,14,0,5,1,0,4,0,226,310,14,5,0,4,0,1,2,235,310,11,6,4,2,113,444,14,1,0,308,255,0,0,0,0
0090010,BIGELOW                ,0,2,22A,3,51800,0,0,N,O,BIGELOW CITY                  ,5,C,N,009,0010,53,530010,126,18,99,6,0,0,105,70,31,2,0,1,0,0,1,0,52,39,3,4,3,0,0,1,2,50,45,5,2,1,1,42,61,0,0,0,50,54,0,0,0,0
0100015,BIGELOW TWP.           ,0,2,22A,3,51800,0,0,N,O,BIGELOW TOWNSHIP              ,5,T,N,010,0015,53,530015,239,21,200,22,0,0,222,152,62,2,1,1,0,0,1,0,154,60,3,4,1,0,1,2,2,130,88,2,1,1,0,85,131,0,0,0,136,85,0,0,0,0
0200020,BLOOM TWP.             ,0,2,22A,2,51800,0,0,N,O,BLOOM TOWNSHIP                ,5,T,N,020,0020,53,530020,137,7,108,5,0,0,113,60,46,2,1,4,0,0,4,0,44,62,3,3,1,1,0,1,2,40,69,2,2,2,0,32,79,0,0,0,23,90,0,0,0,0
0250025,BREWSTER               ,0,2,22A,1,51300,0,0,N,O,BREWSTER CITY                 ,5,C,N,025,0025,53,530025,294,27,230,9,0,0,239,95,126,12,0,2,0,0,2,0,98,121,8,5,0,2,1,2,2,91,134,7,2,0,2,56,176,0,0,0,105,131,0,0,0,0
0300030,DEWALD TWP.            ,0,2,22A,3,51800,0,0,N,O,DEWALD TOWNSHIP               ,5,T,N,030,0030,53,530030,165,21,137,6,0,0,143,100,33,3,1,3,0,0,2,1,88,46,3,4,0,0,0,4,2,84,53,5,1,0,1,63,76,0,0,0,80,62,0,0,0,0
0350035,DUNDEE                 ,0,2,22A,1,50500,0,0,N,O,DUNDEE CITY                   ,5,C,N,035,0035,53,530035,82,3,59,1,0,0,60,18,40,2,0,0,0,0,0,0,19,36,0,2,0,1,0,1,2,18,39,1,0,0,0,12,46,0,0,0,15,44,0,0,0,0
0400040,ELK TWP.               ,0,2,22A,1,51800,0,0,N,O,ELK TOWNSHIP                  ,5,T,N,040,0040,53,530040,171,23,138,8,0,0,146,98,43,2,1,0,0,0,0,0,86,51,4,4,3,0,0,1,2,74,65,3,0,0,0,47,92,0,0,0,67,78,0,0,0,0
0450045,ELLSWORTH              ,0,2,21B,3,51400,0,0,N,O,ELLSWORTH CITY                ,5,C,N,045,0045,53,530045,266,59,240,22,0,0,262,126,111,5,0,2,1,0,1,0,99,98,8,9,5,2,2,0,2,106,112,9,4,0,4,53,150,38,0,0,138,105,0,0,0,0
0500050,GRAHAM LAKES TWP.      ,0,2,22A,1,51800,0,0,N,O,GRAHAM LAKES TOWNSHIP         ,5,T,N,050,0050,53,530050,137,18,110,10,0,0,120,56,58,5,0,1,0,0,1,0,50,64,3,1,1,0,0,0,2,42,71,3,2,0,2,28,86,0,0,0,40,79,0,0,0,0
0550055,GRAND PRAIRIE TWP.     ,0,2,21B,3,51400,0,0,N,O,GRAND PRAIRIE TOWNSHIP        ,5,T,N,055,0055,53,530055,118,19,96,2,0,0,98,67,25,1,0,3,0,0,3,0,51,34,3,2,1,1,0,0,2,42,40,8,0,0,0,39,48,5,0,0,62,31,0,0,0,0
0600060,HERSEY TWP.            ,0,2,22A,1,51800,0,0,N,O,HERSEY TOWNSHIP               ,5,T,N,060,0060,53,530060,143,7,109,3,0,0,112,59,45,7,0,1,0,0,1,0,56,46,6,3,0,1,1,1,2,47,57,5,2,0,2,32,79,0,0,0,51,59,0,0,0,0
0650065,INDIAN LAKE TWP.       ,0,2,22A,1,51800,0,0,N,O,INDIAN LAKE TOWNSHIP          ,5,T,N,065,0065,53,530065,162,12,123,13,0,0,136,88,39,6,0,3,0,0,3,0,88,34,10,3,0,1,1,1,2,80,47,6,1,0,1,68,65,0,0,0,86,50,0,0,0,0
0700070,KINBRAE                ,0,2,22A,1,50500,0,0,N,O,KINBRAE CITY                  ,5,C,N,070,0070,53,530070,17,2,13,1,0,0,14,6,5,2,0,1,0,0,0,1,6,4,1,2,0,0,0,2,2,10,1,2,0,0,0,9,4,0,0,0,10,3,0,0,0,0
0750075,LARKIN TWP.            ,0,2,22A,2,51800,0,0,N,O,LARKIN TOWNSHIP               ,5,T,N,075,0075,53,530075,127,13,94,9,0,0,103,66,34,1,0,0,0,0,0,0,60,30,5,4,1,0,1,2,2,51,48,2,1,0,1,28,72,0,0,0,44,59,0,0,0,0
0800080,LEOTA TWP.             ,0,2,21B,2,16900,0,0,N,O,LEOTA TOWNSHIP                ,5,T,N,080,0080,53,530080,318,21,254,21,0,0,275,226,45,3,0,0,0,0,0,0,213,51,2,3,1,1,0,1,2,190,74,3,2,1,1,146,101,19,2,0,223,46,0,0,0,0
0840085,LISMORE                ,0,2,21B,2,51100,0,0,N,O,LISMORE CITY                  ,5,C,N,084,0085,53,530085,149,11,118,6,0,0,124,36,80,5,0,2,1,0,1,0,36,72,4,6,2,3,0,1,2,43,74,2,2,1,1,23,95,4,0,0,68,53,0,0,0,0
